seedling_id,sample_id,seed_weight_g,seed_notes,husk_number,seed_number
1087,B26-1,0.2196,NA,NA,NA
1088,B26-2,0.182,NA,NA,NA
1092,B26-6,0.2719,NA,NA,NA
1094,B27-2,0.4315,NA,NA,NA
1095,B27-3,0.3206,NA,NA,NA
1097,B27-5,0.3656,NA,NA,NA
1099,B28-1,0.0536,NA,NA,NA
1100,B28-2,0.0468,NA,NA,NA
1101,B28-3,0.0763,NA,NA,NA
1104,B28-6,0.0513,NA,NA,NA
1105,B28-7,0.0474,NA,NA,NA
1106,B28-8,0.07,NA,NA,NA
1108,B29-1,0.0995,NA,NA,NA
1109,B29-2,0.1153,NA,NA,NA
1111,B29-4,0.0994,NA,NA,NA
1114,B29-7,0.134,NA,NA,NA
1115,B29-8,0.1363,NA,NA,NA
1116,B29-9,0.1584,NA,NA,NA
1119,B30-3,0.15,NA,NA,NA
1120,B30-4,0.1544,NA,NA,NA
1123,B30-7,0.2023,NA,NA,NA
1124,B30-8,0.1872,NA,NA,NA
1125,B30-9,0.2582,NA,NA,NA
1126,B31-1,0.0324,NA,NA,NA
1129,B31-4,0.043,NA,NA,NA
1130,B31-5,0.0192,NA,NA,NA
1131,B31-6,0.0092,NA,NA,NA
1133,B31-8,0.0566,NA,NA,NA
1136,B31-11,0.0219,NA,NA,NA
1139,B32-2,0.0824,NA,NA,NA
1140,B32-3,0.0575,NA,NA,NA
1141,B32-4,0.0702,NA,NA,NA
1142,B32-5,0.0598,NA,NA,NA
1143,B32-6,0.09,NA,NA,NA
1146,B32-9,0.0728,NA,NA,NA
1147,B32-10,0.0991,NA,NA,NA
1148,B32-11,0.1345,NA,NA,NA
1149,B32-12,0.0463,NA,NA,NA
1152,B33-3,0.1885,NA,NA,NA
1153,B33-4,0.195,NA,NA,NA
1155,B33-6,0.0869,NA,NA,NA
1156,B33-7,0.1526,NA,NA,NA
1157,B33-8,0.1708,NA,NA,NA
1159,B33-10,0.2839,NA,NA,NA
1160,B33-11,0.1104,NA,NA,NA
1161,B33-12,0.2972,NA,NA,NA
