block,pot,position,sample_id,species,seedling_id,seed_weight_g,seed_number,seed_notes
A,32,7,A32-7,BDIA,244,0.1345,,
A,32,8,A32-8,BDIA,245,0.1595,,
A,32,9,A32-9,ABIG,246,,,
A,32,10,A32-10,BDIA,247,0.097,,
A,32,11,A32-11,RCAES,248,,,
A,32,12,A32-12,BDIA,249,0.0968,,
A,33,1,A33-1,ABIG,250,,,
A,33,2,A33-2,PLAB,251,,,
A,33,3,A33-3,BDIA,252,0.0209,,
A,33,4,A33-4,BDIA,253,0.1205,,
A,33,5,A33-5,BDIA,254,0.1864,,
A,33,6,A33-6,BDIA,255,0.6996,,
A,33,7,A33-7,BDIA,256,0.1688,,
A,33,8,A33-8,BDIA,257,0.104,,
A,33,9,A33-9,BDIA,258,0.2013,,
A,33,10,A33-10,BDIA,259,0.2008,,
A,33,11,A33-11,BDIA,260,0.1435,,
A,33,12,A33-12,RCAES,261,,,
A,34,1,A34-1,PLAB,262,,,
A,34,2,A34-2,RCAES,263,,,
A,34,3,A34-3,BDIA,264,0.0526,,
A,34,4,A34-4,RCAES,265,,,
A,34,5,A34-5,BDIA,266,,,
A,34,6,A34-6,ABIG,267,,,
A,34,7,A34-7,PLAB,268,,,
A,34,8,A34-8,BDIA,269,0.0604,,
A,34,9,A34-9,ABIG,270,,,
A,35,1,A35-1,BDIA,271,0.1693,,
A,35,2,A35-2,PLAB,272,,,
A,35,3,A35-3,BDIA,273,0.1516,,
A,35,4,A35-4,RCAES,274,,,
A,35,5,A35-5,ABIG,275,,,
A,35,6,A35-6,BDIA,276,0.1077,,
A,35,7,A35-7,PLAB,277,,,
A,35,8,A35-8,RCAES,278,,,
A,35,9,A35-9,ABIG,279,,,
A,36,1,A36-1,BDIA,280,0.2484,,
A,36,2,A36-2,PLAB,281,,,
A,36,3,A36-3,PLAB,282,,,
A,36,4,A36-4,BDIA,283,0.3793,,
A,36,5,A36-5,RCAES,284,,,
A,36,6,A36-6,ABIG,285,,,
A,36,7,A36-7,ABIG,286,,,
A,36,8,A36-8,BDIA,287,0.4701,,
A,36,9,A36-9,RCAES,288,,,
A,37,1,A37-1,ABIG,289,,,
A,37,2,A37-2,BDIA,290,0.0445,,
A,37,3,A37-3,PLAB,291,,,
A,37,4,A37-4,BDIA,292,0.0356,,
A,37,5,A37-5,RCAES,293,,,
A,37,6,A37-6,BDIA,294,0.0515,,
A,37,7,A37-7,RCAES,295,,,
A,37,8,A37-8,BDIA,296,0.0286,,
A,37,9,A37-9,BDIA,297,0.0663,,
A,37,10,A37-10,ABIG,298,,,
A,37,11,A37-11,BDIA,299,0.0526,,
A,37,12,A37-12,PLAB,300,,,
A,38,1,A38-1,PLAB,301,,,
A,38,2,A38-2,PLAB,302,,,
A,38,3,A38-3,BDIA,303,0.1201,,
A,38,4,A38-4,RCAES,304,,,
A,38,5,A38-5,RCAES,305,,,
A,38,6,A38-6,BDIA,306,0.0947,,
A,38,7,A38-7,BDIA,307,0.1327,,
A,38,8,A38-8,BDIA,308,0.1123,,
A,38,9,A38-9,ABIG,309,,,
A,38,10,A38-10,BDIA,310,0.1225,,
A,38,11,A38-11,BDIA,311,0.1185,,
A,38,12,A38-12,ABIG,312,0.0444,,
A,39,1,A39-1,BDIA,313,0.1715,,
A,39,2,A39-2,BDIA,314,0.264,,
A,39,3,A39-3,PLAB,315,,,
A,39,4,A39-4,RCAES,316,,,
A,39,5,A39-5,BDIA,317,0.2375,,
A,39,6,A39-6,RCAES,318,,,
A,39,7,A39-7,ABIG,319,,,
A,39,8,A39-8,ABIG,320,,,
A,39,9,A39-9,BDIA,321,0.2759,,
A,39,10,A39-10,BDIA,322,0.284,,
A,39,11,A39-11,BDIA,323,0.3619,,
A,39,12,A39-12,PLAB,324,,,
A,40,1,A40-1,PLAB,325,,,
A,40,2,A40-2,PLAB,326,,,
A,40,3,A40-3,RCAES,327,,,
A,40,4,A40-4,RCAES,328,,,
A,40,5,A40-5,PLAB,329,,,
A,40,6,A40-6,RCAES,330,,,
A,40,7,A40-7,BDIA,331,0.0544,,
A,40,8,A40-8,BDIA,332,0.0656,,
A,40,9,A40-9,ABIG,333,,,
A,40,10,A40-10,ABIG,334,0.0135,,
A,40,11,A40-11,BDIA,335,0.0628,,
A,40,12,A40-12,ABIG,336,,,
A,41,1,A41-1,ABIG,337,,,
A,41,2,A41-2,BDIA,338,0.1582,,
A,41,3,A41-3,PLAB,339,,,
A,41,4,A41-4,BDIA,340,0.1226,,
A,41,5,A41-5,RCAES,341,,,
A,41,6,A41-6,RCAES,342,,,
A,41,7,A41-7,ABIG,343,,,
A,41,8,A41-8,RCAES,344,,,
A,41,9,A41-9,PLAB,345,,,
A,41,10,A41-10,PLAB,346,,,
A,41,11,A41-11,BDIA,347,0.2077,,
A,41,12,A41-12,ABIG,348,,,
A,42,1,A42-1,ABIG,349,0.0586,,
A,42,2,A42-2,BDIA,350,0.2869,,
A,42,3,A42-3,PLAB,351,,,
A,42,4,A42-4,BDIA,352,0.2107,,
A,42,5,A42-5,BDIA,353,,,
A,42,6,A42-6,RCAES,354,,,
A,42,7,A42-7,ABIG,355,,,
A,42,8,A42-8,RCAES,356,,,
A,42,9,A42-9,ABIG,357,,,
A,42,10,A42-10,PLAB,358,,,
A,42,11,A42-11,PLAB,359,,,
A,42,12,A42-12,RCAES,360,,,
A,43,1,A43-1,ABAR,361,0.0188,2,
A,43,2,A43-2,ABAR,362,0.0083,4,
A,43,3,A43-3,ABAR,363,0.0083,2,
A,44,1,A44-1,ABAR,364,0.0592,13,
A,44,2,A44-2,ABAR,365,0.076,11,
A,44,3,A44-3,ABAR,366,0.0322,3,
A,45,1,A45-1,ABAR,367,0.1689,16,
A,45,2,A45-2,ABAR,368,0.0094,4,
A,45,3,A45-3,ABAR,369,0.062,14,
A,46,1,A46-1,ABAR,370,0.007,1,
A,46,2,A46-2,ABAR,371,0.009,2,
A,46,3,A46-3,ABAR,372,,,
A,46,4,A46-4,ABAR,373,,,
A,46,5,A46-5,ABAR,374,0.013,2,
A,46,6,A46-6,ABAR,375,0.0211,4,
A,47,1,A47-1,ABAR,376,0.0167,3,
A,47,2,A47-2,ABAR,377,0.0165,1,
A,47,3,A47-3,ABAR,378,0.1489,14,
A,47,4,A47-4,ABAR,379,0.1137,10,
A,47,5,A47-5,ABAR,380,0.0997,10,
A,47,6,A47-6,ABAR,381,0.0177,3,
A,48,1,A48-1,ABAR,382,0.0175,3,
A,48,2,A48-2,ABAR,383,0.0168,3,
A,48,3,A48-3,ABAR,384,0.0198,1,
A,48,4,A48-4,ABAR,385,0.0884,12,
A,48,5,A48-5,ABAR,386,0.0355,3,
A,48,6,A48-6,ABAR,387,,,
A,49,1,A49-1,ABAR,388,0.0094,2,
A,49,2,A49-2,ABAR,389,,,
A,49,3,A49-3,ABAR,390,,,
A,49,4,A49-4,ABAR,391,0.0141,1,
A,49,5,A49-5,ABAR,392,0.0118,2,
A,49,6,A49-6,ABAR,393,0.0028,2,
A,49,7,A49-7,ABAR,394,0.0106,2,
A,49,8,A49-8,ABAR,395,,,
A,49,9,A49-9,ABAR,396,0.0109,3,
A,50,1,A50-1,ABAR,397,0.0264,7,
A,50,2,A50-2,ABAR,398,0.063,7,
A,50,3,A50-3,ABAR,399,0.0206,2,
A,50,4,A50-4,ABAR,400,0.0421,7,
A,50,5,A50-5,ABAR,401,0.0095,2,
A,50,6,A50-6,ABAR,402,0.0361,6,
A,50,7,A50-7,ABAR,403,0.0719,6,
A,50,8,A50-8,ABAR,404,0.0639,6,
A,50,9,A50-9,ABAR,405,0.0076,1,
A,51,1,A51-1,ABAR,406,,,
A,51,2,A51-2,ABAR,407,0.0063,1,
A,51,3,A51-3,ABAR,408,0.0325,8,
A,51,4,A51-4,ABAR,409,0.025,8,
A,51,5,A51-5,ABAR,410,0.0173,5,
A,51,6,A51-6,ABAR,411,0.0202,1,
A,51,7,A51-7,ABAR,412,0.019,1,
A,51,8,A51-8,ABAR,413,0.0196,1,
A,51,9,A51-9,ABAR,414,0.0616,8,
A,52,1,A52-1,ABAR,415,0.0109,2,
A,52,2,A52-2,ABAR,416,,,
A,52,3,A52-3,ABAR,417,0.007,1,
A,52,4,A52-4,ABAR,418,,,
A,52,5,A52-5,ABAR,419,0.0128,1,
A,52,6,A52-6,ABAR,420,0.0058,1,
A,52,7,A52-7,ABAR,421,0.0065,1,
A,52,8,A52-8,ABAR,422,,,
A,52,9,A52-9,ABAR,423,0.0179,3,
A,52,10,A52-10,ABAR,424,0.0066,1,
A,52,11,A52-11,ABAR,425,0.0248,3,
A,52,12,A52-12,ABAR,426,0.0058,1,
A,53,1,A53-1,ABAR,427,,,
A,53,2,A53-2,ABAR,428,,,
A,53,3,A53-3,ABAR,429,0.0082,1,
A,53,4,A53-4,ABAR,430,,,
A,53,5,A53-5,ABAR,431,,,
A,53,6,A53-6,ABAR,432,,,
A,53,7,A53-7,ABAR,433,0.0074,1,
A,53,8,A53-8,ABAR,434,0.0034,1,
