seedling_id,sample_id,seed_weight2,seed_number2,husk_number2
1917,C18-6,0.2694,,
1926,C19-9,0.0134,,
1957,C23-1,0.0674,,
1958,C23-2,0.0177,,
1959,C23-3,0.0528,,
1960,C23-4,0.0574,,
1961,C23-5,0.0478,,
1962,C23-6,0.0451,,
1963,C23-7,0.0847,,
1964,C23-8,0.0487,,
1965,C23-9,0.0773,,
1966,C23-10,0.0823,,
2017,C30-1,0.0316,,
2019,C30-3,0.2453,,
2021,C30-5,0.2244,,
2023,C30-7,0.31,,
2024,C30-8,0.2273,,
2025,C30-9,0.058,,
2080,C36-1,0.4955,,
2081,C36-2,0.0785,,
2087,C36-8,0.0604,,
2113,C39-1,0.2962,,
2114,C39-2,0.3499,,
2118,C39-6,0.026,,
2119,C39-7,0.3073,,
2134,C40-10,0.0395,,
2135,C40-11,0.0605,,
2161,C43-1,0.0751,4,8
2162,C43-2,0.0203,1,6
2163,C43-3,0.0122,1,6
2164,C44-1,0.0265,1,16
2165,C44-2,0.0211,1,14
2166,C44-3,0.126,9,18
2167,C45-1,0.2606,22,24
2168,C45-2,0.3622,27,34
2172,C46-3,,0,6
2174,C46-5,,0,2
2176,C47-1,0.01,3,6
2177,C47-2,,0,16
2179,C47-4,0.0325,1,14
2180,C47-5,0.13,12,12
2181,C47-6,0.038,3,18
2189,C49-2,,0,4
2193,C49-6,,0,2
2195,C49-8,,0,2
2197,C50-1,,0,8
2213,C51-8,,0,14
2216,C52-2,,0,4
2217,C52-3,,0,4
2218,C52-4,,0,2
2221,C52-7,,0,2
2223,C52-9,,0,2
2226,C52-12,,0,4
2227,C53-1,,0,6
2229,C53-3,,0,6
2230,C53-4,,0,6
2236,C53-10,,0,4
2237,C53-11,,0,6
2239,C54-1,0.0123,1,6
2243,C54-5,,0,6
2246,C54-8,,0,10
2248,C54-10,,0,10
2271,C58-3,,0,4
2274,C58-6,,0,4
2285,C59-8,,0,10
2299,C61-4,,0,4
2301,C61-6,,0,4
2304,C61-9,,0,2
2307,C61-12,,0,2
2309,C62-2,,0,12
2311,C62-4,,0,4
2313,C62-6,,0,10
2319,C62-12,,0,6
2332,C64-1,,0,6
2371,C68-1,,0,6
2379,C68-9,,0,6
2382,C68-12,,0,10
2404,C70-10,,0,4
2454,C78-3,0.0395,,
2533,C87-1,0.0174,,
2791,D13-1,0.0222,,
2792,D13-2,0.0156,,
2793,D13-3,0.0529,,
2797,D15-1,0.3564,,
2798,D15-2,0.1363,,
2799,D15-3,0.0491,,
2802,D16-3,0.0325,,
2845,D22-1,0.0203,,
2846,D22-2,0.0403,,
2847,D22-3,0.0231,,
2848,D22-4,0.0267,,
2849,D22-5,0.0401,,
2850,D22-6,0.0182,,
2851,D22-7,0.0292,,
2852,D22-8,0.0346,,
2853,D22-9,0.0644,,
2854,D22-10,0.029,,
2855,D22-11,0.0285,,
2856,D22-12,0.0305,,
2870,D24-2,0.243,,
2871,D24-3,0.1511,,
2872,D24-4,0.1714,,
2873,D24-5,0.0965,,
2874,D24-6,0.1362,,
2875,D24-7,0.1634,,
2876,D24-8,0.1688,,
2894,D27-2,0.2609,,
2896,D27-4,0.2713,,
2898,D27-6,0.0135,,
2900,D28-2,0.0391,,
2901,D28-3,0.0165,,
2903,D28-5,0.0321,,
2904,D28-6,0.0221,,
2905,D28-7,0.0274,,
2907,D28-9,0.0571,,
2937,D31-12,0.0121,,
2974,D35-4,0.1786,,
2977,D35-7,0.0891,,
2978,D35-8,0.1817,,
2982,D36-3,0.3111,,
2984,D36-5,0.2535,,
2988,D36-9,0.4152,,
2990,D37-2,0.0614,,
2991,D37-3,0.0348,,
2992,D37-4,0.022,,
2993,D37-5,0.0187,,
2994,D37-6,0.0929,,
2995,D37-7,0.0509,,
3004,D38-4,0.0779,,
3005,D38-5,0.0963,,
3006,D38-6,0.0966,,
3007,D38-7,0.0989,,
3010,D38-10,0.0858,,
3012,D38-12,0.1781,,
3014,D39-2,0.3053,,
3018,D39-6,0.0836,,
3019,D39-7,0.1537,,
3020,D39-8,0.1698,,
3021,D39-9,0.1249,,
3024,D39-12,0.1999,,
3031,D40-7,0.0452,,
3034,D40-10,0.0372,,
3035,D40-11,0.0303,,
3038,D41-2,0.0136,,
3041,D41-5,0.0147,,
3042,D41-6,0.0933,,
3048,D41-12,0.1525,,
3050,D42-2,0.2623,,
3055,D42-7,0.2278,,
3058,D42-10,0.3171,,
3129,D53-3,,0,6
3130,D53-4,,0,6
3132,D53-6,,0,4
3135,D53-9,,0,4
3145,D54-7,,0,2
3216,D62-9,,0,6
3548,D98-8,0.009,,
