seedling_id,sample_id,biomass_weight_g,weight_notes
658,A79-1,0.0479,NA
659,A79-2,0.0377,NA
660,A79-3,0.0679,NA
661,A79-4,0.0421,NA
662,A79-5,0.0597,NA
663,A79-6,0.0431,NA
664,A79-7,0.0502,NA
665,A79-8,0.0352,NA
666,A79-9,0.055,NA
667,A80-1,0.1924,NA
668,A80-2,0.1817,NA
669,A80-3,0.1037,NA
670,A80-4,0.1068,NA
671,A80-5,0.1565,NA
672,A80-6,0.2204,NA
673,A80-7,0.1488,NA
675,A80-9,0.2684,NA
676,A81-1,0.111,NA
677,A81-2,0.3034,NA
678,A81-3,0.3896,NA
679,A81-4,0.1908,NA
680,A81-5,0.2412,NA
681,A81-6,0.2821,NA
682,A81-7,0.4798,NA
683,A81-8,0.2091,NA
684,A81-9,0.4203,NA
685,A82-1,0.0308,NA
686,A82-2,0.0233,NA
687,A82-3,0.0172,NA
688,A82-4,0.0068,NA
689,A82-5,0.0238,NA
690,A82-6,0.0254,NA
691,A82-7,0.0212,NA
692,A82-8,0.0323,NA
693,A82-9,0.0487,NA
694,A82-10,0.0247,NA
695,A82-11,0.0343,NA
696,A82-12,0.053,NA
697,A83-1,0.128,NA
698,A83-2,0.0575,NA
699,A83-3,0.0994,NA
700,A83-4,0.0595,NA
701,A83-5,0.1374,NA
702,A83-6,0.1336,NA
703,A83-7,0.147,NA
704,A83-8,0.1392,NA
705,A83-9,0.1177,NA
706,A83-10,0.1692,NA
707,A83-11,0.1627,NA
708,A83-12,0.1288,NA
709,A84-1,0.2068,NA
710,A84-2,0.1395,NA
711,A84-3,0.1495,NA
712,A84-4,0.1784,NA
713,A84-5,0.101,NA
714,A84-6,0.1484,NA
715,A84-7,0.2614,NA
716,A84-8,0.3085,NA
717,A84-9,0.1767,NA
718,A84-10,0.3246,NA
719,A84-11,0.3553,NA
720,A84-12,0.378,NA
721,A85-1,0.054,NA
722,A85-2,0.0417,NA
723,A85-3,0.0522,NA
724,A85-4,0.0521,NA
725,A85-5,0.0605,NA
726,A85-6,0.0391,NA
727,A86-1,0.1268,NA
728,A86-2,0.1058,NA
729,A86-3,0.1226,NA
730,A86-4,0.1925,NA
731,A86-5,0.1857,NA
732,A86-6,0.2469,NA
733,A87-1,0.3228,NA
734,A87-2,0.3728,NA
735,A87-3,0.3359,NA
736,A87-4,0.3614,NA
737,A87-5,0.21,NA
738,A87-6,0.3879,NA
739,A88-1,0.0485,NA
740,A88-2,0.0382,NA
741,A88-3,0.0317,NA
742,A88-4,0.0365,NA
743,A88-5,0.0328,NA
744,A88-6,0.0559,NA
745,A88-7,0.0321,NA
746,A88-8,0.0533,NA
747,A88-9,0.1283,NA
748,A89-1,0.1306,NA
749,A89-2,0.1857,NA
750,A89-3,0.0684,NA
751,A89-4,0.1225,NA
752,A89-5,0.0551,NA
753,A89-6,0.1225,NA
754,A89-7,0.1717,NA
755,A89-8,0.137,NA
756,A89-9,0.1439,NA
757,A90-1,0.2318,NA
758,A90-2,0.2883,NA
759,A90-3,0.2294,NA
