seedling_id,sample_id,leaf_id,leaf_area_cm2,leaf_perimeter_cm,area_notes
917,B5-2,2,5.097,31.63,
923,B6-2,1,5.325,28.874,
923,B6-2,2,7.762,33.514,
957,B10-3,1,3.413,26.632,
957,B10-3,2,5.257,34.54,
974,B11-8,1,6.398,41.454,
974,B11-8,2,8.454,35.48,
988,B12-10,1,5.495,29.945,
988,B12-10,2,4.457,22.658,
1003,B16-4,1,2.155,36.773,
1003,B16-4,2,1.942,39.761,
1003,B16-4,3,1.146,27.134,
1010,B17-5,1,1.493,6.313,
1010,B17-5,2,0.729,6.47,
1010,B17-5,3,4.183,34.437,
1013,B18-2,1,7.844,23.284,
1013,B18-2,2,6.59,20.802,
1053,B22-9,1,0.861,7.173,
1053,B22-9,2,0.754,5.945,
1066,B23-10,1,1.625,10.404,
1066,B23-10,2,1.094,9.671,
1066,B23-10,3,4.742,21.238,
1071,B24-3,1,4.995,21.525,
1071,B24-3,2,3.726,17.61,
1071,B24-3,3,7.446,27.199,
1082,B25-2,1,2.164,20.984,
1082,B25-2,2,3.415,20.862,
1082,B25-2,3,3.205,17.55,
1085,B25-5,1,3.907,30.037,
1085,B25-5,2,3.894,22.539,
1089,B26-3,1,7.517,31.78,
1089,B26-3,2,6.91,35.392,
1088,B26-2,1,7.557,25.122,
1088,B26-2,2,3.63,14.598,
1094,B27-2,1,6.144,25.601,
1094,B27-2,2,4.01,18.309,
1094,B27-2,3,1.995,10.322,
1096,B27-4,1,7.045,29.987,
1096,B27-4,2,6.827,31.661,
1192,B37-4,1,3.438,24.024,
1192,B37-4,2,1.504,9.798,
1192,B37-4,3,1.008,7.764,
1200,B37-12,1,2.148,23.206,
1200,B37-12,2,3.316,28.569,
1206,B38-6,1,3.41,32.409,
1206,B38-6,2,4.191,31.925,
1217,B39-5,1,3.256,17.912,
1217,B39-5,2,4.908,31.284,
1224,B39-12,1,2.345,11.236,
1224,B39-12,2,2.824,24.674,
1277,B47-2,1,2.228,17.36,
1277,B47-2,2,2.405,12.801,
1277,B47-2,3,3.753,24.095,
1282,B48-1,1,6.054,28.939,
1282,B48-1,2,5.012,25.152,
1318,B52-4,1,0.96,8.476,
1318,B52-4,2,0.608,7.76,
1318,B52-4,3,1.951,16.734,
1333,B53-7,1,1.47,12.828,
1333,B53-7,2,2.95,19.41,
1343,B54-5,1,3.636,20.597,
1343,B54-5,2,1.165,11.549,
1351,B55-1,1,1.55,17.798,
1354,B55-4,1,2.637,22.579,
1354,B55-4,2,2.022,21.818,
1362,B56-6,1,1.282,11.428,
1362,B56-6,2,1.803,13.589,
1367,B57-5,1,6.11,29.483,
1367,B57-5,2,5.222,26.241,
1367,B57-5,3,7.667,33.945,
1368,B57-6,1,0.656,4.603,
1368,B57-6,2,1.102,10.146,
1368,B57-6,3,1.324,8.795,
1464,B67-6,1,1.624,16.346,
1464,B67-6,2,1.185,7.267,
1468,B67-10,1,1.059,11.386,
1468,B67-10,2,0.896,10.047,
1468,B67-10,3,0.437,5.077,
1478,B68-8,1,3.401,26.295,
1478,B68-8,2,3.755,24.319,
1481,B68-11,1,1.822,11.681,
1481,B68-11,2,0.669,7.575,
1481,B68-11,3,0.848,5.975,
1485,B69-3,1,3.723,20.284,
1485,B69-3,2,3.466,20.893,
1491,B69-9,1,3.636,21.178,
1491,B69-9,2,1.01,10.397,
1491,B69-9,3,4.04,22.379,
1542,B76-3,1,1.043,25.145,
1542,B76-3,2,2.012,41.009,
1542,B76-3,3,1.82,37.839,
1547,B77-2,1,2.145,42.17,
1547,B77-2,2,1.738,36.482,
1547,B77-2,3,2.91,39.557,
1555,B78-4,1,4.119,79.525,
1555,B78-4,2,2.219,30.822,
1555,B78-4,3,1.799,37.597,
1555,B78-4,4,1.13,21.603,
1586,B82-2,1,1.396,26.708,
1586,B82-2,2,1.337,26.452,
1603,B83-7,1,0.359,11.502,
1603,B83-7,1,0.684,18.21,
1603,B83-7,1,0.657,11.574,
1603,B83-7,2,1.458,26.091,
1603,B83-7,3,0.2,11.249,
1603,B83-7,3,1.799,33.818,
1609,B84-1,1,2.084,42.082,
1609,B84-1,2,5.604,70.381,
1609,B84-1,3,2.637,42.462,
1626,B85-6,1,3.01,22.808,
1626,B85-6,2,2.297,19.312,
1629,B86-3,1,1.269,36.544,
1629,B86-3,2,2.267,48.051,
1629,B86-3,2,1.708,31.575,
1629,B86-3,3,2.437,61.156,
1623,B85-3,1,0.896,33.1,
1623,B85-3,2,0.978,31.536,
1623,B85-3,3,1.047,34.183,
1632,B86-6,1,6.253,47.714,
1632,B86-6,2,7.137,32.987,
1633,B87-1,1,9.301,45.379,
1633,B87-1,2,10.758,45.615,
1634,B87-2,1,1.997,49.069,
1634,B87-2,2,3.093,47.728,
1634,B87-2,3,1.873,51.342,
1733,B97-5,1,0.488,15.185,
1733,B97-5,2,0.846,19.03,
1738,B97-10,1,3.227,26.279,
1738,B97-10,2,2.625,21.029,
1748,B98-8,1,6.004,34.352,
1748,B98-8,2,8.168,41.203,
1750,B98-10,1,0.955,24.065,
1750,B98-10,2,1.306,46.725,
1750,B98-10,3,1.929,42.067,
1753,B99-1,1,2.438,36.673,
1753,B99-1,2,0.534,14.552,
1753,B99-1,3,1.81,21.865,
1753,B99-1,4,0.937,21.769,
1761,B99-9,1,8.466,36.378,
1761,B99-9,2,8.916,44.767,
1813,C4-4,1,4.368,27.253,
1813,C4-4,2,4.404,26.755,
1819,C5-4,1,7.711,44.122,
1819,C5-4,2,4.375,19.934,
1819,C5-4,3,4.665,25.013,
1822,C6-1,1,3.434,26.572,
1822,C6-1,2,4.085,26.944,
1865,C10-11,1,2.045,18.612,
1865,C10-11,2,3.093,26.337,
1867,C11-1,1,4.473,23.037,
1867,C11-1,2,4.581,23.893,
1867,C11-1,3,4.817,20.978,
1882,C12-4,1,7.678,38.078,
1882,C12-4,2,3.733,23.998,
1882,C12-4,3,6.62,28.035,
1904,C16-5,1,4.507,21.348,
1904,C16-5,2,1.21,9.376,
1904,C16-5,3,1.843,11.178,
1908,C17-3,1,3.447,19.706,
1908,C17-3,2,4.501,23.284,
1908,C17-3,3,9.202,39.234,
1912,C18-1,1,6.53,27.977,
1912,C18-1,2,3.715,15.964,
1965,C23-9,1,2.174,13.3,
1965,C23-9,2,4.393,21.698,
1965,C23-9,3,3.003,12.331,
1970,C24-2,1,8.837,38.001,
1970,C24-2,2,5.635,21.692,
1970,C24-2,3,5.56,18.154,
